1137,1782,1900
1137,1781,1900
1137,1781,1900
1137,1780,1900
1137,1780,1900
1137,1779,1900
1137,1779,1900
1136,1779,1900
1136,1778,1900
1136,1778,1900
1136,1778,1900
1136,1777,1900
1136,1777,1900
1135,1777,1900
1135,1776,1900
1135,1776,1900
1135,1776,1900
1135,1776,1900
1134,1775,1900
1134,1775,1900
1134,1775,1900
1134,1774,1900
1134,1774,1900
1133,1774,1900
1133,1774,1900
1133,1773,1900
1133,1773,1900
1132,1773,1900
1132,1773,1900
1132,1772,1900
1131,1772,1900
1131,1772,1900
1131,1772,1900
1131,1772,1900
1130,1771,1900
1130,1771,1900
1130,1771,1900
1129,1771,1900
1129,1771,1900
1129,1770,1900
1128,1770,1900
1128,1770,1900
1128,1770,1900
1127,1770,1900
1127,1770,1900
1127,1770,1900
1126,1769,1900
1126,1769,1900
1125,1769,1900
